Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src
rgb-led-strip-5m-gaming,"RGB LED Strip 5m – Gaming & Zimmer Beleuchtung","<p>Der <strong>RGB LED Strip</strong> verwandelt dein Gaming-Setup oder Wohnzimmer in ein Lichterlebnis! 16 Millionen Farben, App-Steuerung per Smartphone – einfach montieren und sofort begeistern.</p><ul><li>Laenge: 5 Meter</li><li>16 Mio. Farben dimmbar</li><li>Selbstklebende Rueckseite</li><li>App-Steuerung iOS & Android</li><li>Lieferzeit: 5-9 Werktage</li></ul>",LightCraft DE,LED Strip,"led, rgb, strip, gaming, zimmer, farbe, beleuchtung",true,14.99,24.99,true,true,https://images.unsplash.com/photo-1659066019874-7a15628cea60?w=800&q=80
smart-wifi-led-strip-5m,"Smart WiFi LED Strip 5m – Alexa & Google Home","<p>Steuere deine Beleuchtung per Smartphone, Alexa oder Google Home! Der <strong>Smart WiFi LED Strip</strong> verwandelt jeden Raum in ein smartes Licht-Erlebnis mit Musik-Sync und Timer-Funktion.</p><ul><li>App-Steuerung iOS & Android</li><li>Alexa & Google Home kompatibel</li><li>RGB + Warmweiss in einem Strip</li><li>Musik-Sync Funktion</li><li>Lieferzeit: 5-9 Werktage</li></ul>",LightCraft DE,LED Strip,"led, smart, wifi, alexa, google home, app, rgb, smarthome",true,34.99,54.99,true,true,https://images.unsplash.com/photo-1769185327819-1e9d22163bf0?w=800&q=80
rgbic-neon-flex-strip-2m,"RGBIC Neon Flex Strip 2m – Gaming & Deko","<p>Der <strong>RGBIC Neon Flex Strip</strong> – mehrere Farben gleichzeitig fuer atemberaubende Lichteffekte im Gaming-Setup oder am TV!</p><ul><li>RGBIC: mehrere Farben gleichzeitig</li><li>2 Meter Laenge</li><li>USB-betrieben 5V</li><li>App-steuerbar</li><li>Lieferzeit: 5-9 Werktage</li></ul>",LightCraft DE,LED Strip,"led, rgbic, neon, gaming, tv, rgb, strip, usb",true,29.99,49.99,true,true,https://images.unsplash.com/photo-1771931108120-315932b7cf53?w=800&q=80
led-sensor-nachtlicht-bett,"LED Nachtlicht Bewegungssensor 1m – Bett & Treppe","<p><strong>Intelligenter LED Nachtlicht Streifen</strong> mit Bewegungs- und Daemmerungssensor – leuchtet automatisch auf wenn du aufstehst! Kein Stolpern mehr im Dunkeln!</p><ul><li>Automatischer Bewegungssensor</li><li>Daemmerungssensor – leuchtet nur im Dunkeln</li><li>Warmweiss EU-Stecker</li><li>1M bis 5M erweiterbar</li><li>Lieferzeit: 5-9 Werktage</li></ul>",LightCraft DE,LED Strip,"led, sensor, nachtlicht, bett, treppe, bewegungssensor, warmweiss",true,24.99,39.99,true,true,https://images.unsplash.com/photo-1771931108437-7be483b48043?w=800&q=80
led-tv-hintergrundbeleuchtung,"LED TV Hintergrundbeleuchtung USB – Bias Lighting","<p>Kinoerlebnis zuhause! Die <strong>LED TV Hintergrundbeleuchtung</strong> reduziert Augenbelastung und macht deinen TV zum Highlight. USB-betrieben, fuer alle TV ab 40 Zoll.</p><ul><li>USB-betrieben kein Netzteil noetig</li><li>Warmweiss & RGB waehlbar</li><li>Selbstklebend einfache Montage</li><li>Fuer TV ab 40 Zoll</li><li>Lieferzeit: 5-9 Werktage</li></ul>",LightCraft DE,LED Strip,"led, tv, hintergrundbeleuchtung, bias lighting, usb, fernseher",true,17.99,29.99,true,true,https://images.unsplash.com/photo-1767583377424-e53c00647573?w=800&q=80
led-streifen-kueche-warmweiss,"LED Streifen Kueche & Schrank – Warmweiss 3m","<p>Perfekte Beleuchtung unter Kuechenschraenken, in Regalen oder Vitrinen! Der <strong>LED Streifen</strong> setzt deine Einrichtung warm und gemuetlich in Szene.</p><ul><li>Warmweiss 3000K</li><li>3 Meter mit Netzteil</li><li>Selbstklebend schnelle Montage</li><li>Sehr niedrige Stromkosten</li><li>Lieferzeit: 5-9 Werktage</li></ul>",LightCraft DE,LED Strip,"led, kueche, schrank, warmweiss, regal, unterbauleuchte",true,16.99,27.99,true,true,https://images.unsplash.com/photo-1767203330128-b4c27297f320?w=800&q=80
led-strip-outdoor-ip67,"Outdoor LED Strip wasserdicht 5m – IP67 Schutz","<p>Wetterfest und strahlend hell! Der <strong>Outdoor LED Strip</strong> mit IP67-Schutz ist ideal fuer Garten, Terrasse, Einfahrt oder Pool.</p><ul><li>IP67 vollstaendig wasserdicht</li><li>5 Meter Laenge</li><li>RGB mit Fernbedienung</li><li>Fuer Aussenbereich -20 bis +50 Grad</li><li>Lieferzeit: 5-9 Werktage</li></ul>",LightCraft DE,LED Strip,"led, outdoor, garten, wasserdicht, ip67, terrasse, rgb",true,22.99,37.99,true,true,https://images.unsplash.com/photo-1659066019874-7a15628cea60?w=800&q=80
cob-led-strip-5m-superhell,"COB LED Strip 5m – Superhell & gleichmaessig","<p>Der <strong>COB LED Strip</strong> erzeugt ein gleichmaessiges, blendfreies Licht ohne dunkle Stellen – ideal fuer Buero, Werkstatt oder professionelle Raumbeleuchtung.</p><ul><li>320 LEDs pro Meter extrem hell</li><li>Gleichmaessig ohne Hotspots</li><li>5 Meter Laenge</li><li>Warmweiss oder Kaltweis waehlbar</li><li>Lieferzeit: 5-9 Werktage</li></ul>",LightCraft DE,LED Strip,"led, cob, strip, superhell, professionell, buero",true,27.99,44.99,true,true,https://images.unsplash.com/photo-1769185327819-1e9d22163bf0?w=800&q=80
led-lichterkette-usb-3m,"LED Lichterkette USB 3m – Sternenregen Deko","<p>Zaubere romantische Atmosphaere mit der <strong>LED Lichterkette</strong>! Perfekt fuers Schlafzimmer, Balkon oder Weihnachtsdeko.</p><ul><li>3 Meter 30 kleine LEDs</li><li>USB-betrieben</li><li>Warmweiss gemuetliches Licht</li><li>Flexibel formbar</li><li>Lieferzeit: 5-9 Werktage</li></ul>",LightCraft DE,Lichterkette,"led, lichterkette, deko, schlafzimmer, romantisch, usb, weihnachten",true,9.99,16.99,true,true,https://images.unsplash.com/photo-1771931108120-315932b7cf53?w=800&q=80
rgb-led-controller-bluetooth,"RGB LED Controller Bluetooth – Strip smart machen","<p>Mache deinen vorhandenen LED Strip smart! Der <strong>Bluetooth LED Controller</strong> steuert alle 12V RGB Strips per Smartphone-App.</p><ul><li>Bluetooth 5.0 Steuerung</li><li>Alle 12V RGB Strips kompatibel</li><li>Kostenlose App iOS & Android</li><li>Timer und Musik-Sync</li><li>Lieferzeit: 5-9 Werktage</li></ul>",LightCraft DE,Zubehoer,"led, controller, bluetooth, smart, rgb, app, zubehoer",true,12.99,21.99,true,true,https://images.unsplash.com/photo-1767583377424-e53c00647573?w=800&q=80
